KODE DAN DATA ADMINISTRASI PEMERINTAHAN (PROVINSI, KABUPATEN/KOTA, KECAMATAN, DESA DAN KELURAHAN);;;;;;;;;;
KEPMENDAGRI Nomor 300.2.2 - 2138 TAHUN 2025;;;;;;;;;;
No;Kode Wilayah;Kode_Prov;Kode_Kab;Kode_Kec;Kode_Kel/Desa;Provinsi;Kabupaten/Kota;Kecamatan;Kelurahan/Desa;TIPE
6142;11.18.07.2003;11.;11.18.;11.18.07.;11.18.07.2003;Aceh;Kabupaten Pidie Jaya;Panteraja;Hagu;Desa
6143;11.18.07.2004;11.;11.18.;11.18.07.;11.18.07.2004;Aceh;Kabupaten Pidie Jaya;Panteraja;Muka Blang;Desa
6144;11.18.07.2005;11.;11.18.;11.18.07.;11.18.07.2005;Aceh;Kabupaten Pidie Jaya;Panteraja;Lhok Puuk;Desa
6145;11.18.07.2006;11.;11.18.;11.18.07.;11.18.07.2006;Aceh;Kabupaten Pidie Jaya;Panteraja;Mesjid;Desa
6146;11.18.07.2007;11.;11.18.;11.18.07.;11.18.07.2007;Aceh;Kabupaten Pidie Jaya;Panteraja;Teungoh;Desa
6147;11.18.07.2008;11.;11.18.;11.18.07.;11.18.07.2008;Aceh;Kabupaten Pidie Jaya;Panteraja;Tunong;Desa
6148;11.18.07.2009;11.;11.18.;11.18.07.;11.18.07.2009;Aceh;Kabupaten Pidie Jaya;Panteraja;Peurade;Desa
6149;11.18.07.2010;11.;11.18.;11.18.07.;11.18.07.2010;Aceh;Kabupaten Pidie Jaya;Panteraja;Reudeup;Desa
6150;11.18.08.2001;11.;11.18.;11.18.08.;11.18.08.2001;Aceh;Kabupaten Pidie Jaya;Trienggadeng;Sagoe;Desa
6151;11.18.08.2002;11.;11.18.;11.18.08.;11.18.08.2002;Aceh;Kabupaten Pidie Jaya;Trienggadeng;Mee Peuduek;Desa
6152;11.18.08.2003;11.;11.18.;11.18.08.;11.18.08.2003;Aceh;Kabupaten Pidie Jaya;Trienggadeng;Mesjid Peuduek;Desa
6153;11.18.08.2004;11.;11.18.;11.18.08.;11.18.08.2004;Aceh;Kabupaten Pidie Jaya;Trienggadeng;Tuha;Desa
6154;11.18.08.2005;11.;11.18.;11.18.08.;11.18.08.2005;Aceh;Kabupaten Pidie Jaya;Trienggadeng;Reuseb;Desa
6155;11.18.08.2006;11.;11.18.;11.18.08.;11.18.08.2006;Aceh;Kabupaten Pidie Jaya;Trienggadeng;Dee;Desa
6156;11.18.08.2007;11.;11.18.;11.18.08.;11.18.08.2007;Aceh;Kabupaten Pidie Jaya;Trienggadeng;Panton Raya;Desa
6157;11.18.08.2008;11.;11.18.;11.18.08.;11.18.08.2008;Aceh;Kabupaten Pidie Jaya;Trienggadeng;Deah Teumanah;Desa
6158;11.18.08.2009;11.;11.18.;11.18.08.;11.18.08.2009;Aceh;Kabupaten Pidie Jaya;Trienggadeng;Tampui;Desa
6159;11.18.08.2010;11.;11.18.;11.18.08.;11.18.08.2010;Aceh;Kabupaten Pidie Jaya;Trienggadeng;Keude Trienggadeng;Desa
6160;11.18.08.2011;11.;11.18.;11.18.08.;11.18.08.2011;Aceh;Kabupaten Pidie Jaya;Trienggadeng;Raya;Desa
6161;11.18.08.2012;11.;11.18.;11.18.08.;11.18.08.2012;Aceh;Kabupaten Pidie Jaya;Trienggadeng;Paya;Desa
6162;11.18.08.2013;11.;11.18.;11.18.08.;11.18.08.2013;Aceh;Kabupaten Pidie Jaya;Trienggadeng;Meue;Desa
6163;11.18.08.2014;11.;11.18.;11.18.08.;11.18.08.2014;Aceh;Kabupaten Pidie Jaya;Trienggadeng;Mesjid Trienggadeng;Desa
6164;11.18.08.2015;11.;11.18.;11.18.08.;11.18.08.2015;Aceh;Kabupaten Pidie Jaya;Trienggadeng;Teungkluet;Desa
6165;11.18.08.2016;11.;11.18.;11.18.08.;11.18.08.2016;Aceh;Kabupaten Pidie Jaya;Trienggadeng;Matang;Desa
6166;11.18.08.2017;11.;11.18.;11.18.08.;11.18.08.2017;Aceh;Kabupaten Pidie Jaya;Trienggadeng;Deah Ujong Baroh;Desa
6167;11.18.08.2018;11.;11.18.;11.18.08.;11.18.08.2018;Aceh;Kabupaten Pidie Jaya;Trienggadeng;Peulandok Teungoh;Desa
6168;11.18.08.2019;11.;11.18.;11.18.08.;11.18.08.2019;Aceh;Kabupaten Pidie Jaya;Trienggadeng;Peulandok Tunong;Desa
6169;11.18.08.2020;11.;11.18.;11.18.08.;11.18.08.2020;Aceh;Kabupaten Pidie Jaya;Trienggadeng;Deah Pangwa;Desa
6170;11.18.08.2021;11.;11.18.;11.18.08.;11.18.08.2021;Aceh;Kabupaten Pidie Jaya;Trienggadeng;Meucat;Desa
6171;11.18.08.2022;11.;11.18.;11.18.08.;11.18.08.2022;Aceh;Kabupaten Pidie Jaya;Trienggadeng;Cot Makaso;Desa
6172;11.18.08.2023;11.;11.18.;11.18.08.;11.18.08.2023;Aceh;Kabupaten Pidie Jaya;Trienggadeng;Buloh;Desa
6173;11.18.08.2024;11.;11.18.;11.18.08.;11.18.08.2024;Aceh;Kabupaten Pidie Jaya;Trienggadeng;Mee Pangwa;Desa
6174;11.18.08.2025;11.;11.18.;11.18.08.;11.18.08.2025;Aceh;Kabupaten Pidie Jaya;Trienggadeng;Kuta Pangwa;Desa
6175;11.18.08.2026;11.;11.18.;11.18.08.;11.18.08.2026;Aceh;Kabupaten Pidie Jaya;Trienggadeng;Cot Lheue Rheng;Desa
6176;11.18.08.2027;11.;11.18.;11.18.08.;11.18.08.2027;Aceh;Kabupaten Pidie Jaya;Trienggadeng;Rawasari;Desa
6177;11.71.01.2001;11.;11.71.;11.71.01.;11.71.01.2001;Aceh;Kota Banda Aceh;Baiturrahman;Kampung Baru;Desa
6178;11.71.01.2002;11.;11.71.;11.71.01.;11.71.01.2002;Aceh;Kota Banda Aceh;Baiturrahman;Neusu Jaya;Desa
6179;11.71.01.2003;11.;11.71.;11.71.01.;11.71.01.2003;Aceh;Kota Banda Aceh;Baiturrahman;Sukaramai;Desa
6180;11.71.01.2004;11.;11.71.;11.71.01.;11.71.01.2004;Aceh;Kota Banda Aceh;Baiturrahman;Seutui;Desa
6181;11.71.01.2005;11.;11.71.;11.71.01.;11.71.01.2005;Aceh;Kota Banda Aceh;Baiturrahman;Peuniti;Desa
6182;11.71.01.2006;11.;11.71.;11.71.01.;11.71.01.2006;Aceh;Kota Banda Aceh;Baiturrahman;Neusu Aceh;Desa
6183;11.71.01.2007;11.;11.71.;11.71.01.;11.71.01.2007;Aceh;Kota Banda Aceh;Baiturrahman;Ateuk Pahlawan;Desa
6184;11.71.01.2008;11.;11.71.;11.71.01.;11.71.01.2008;Aceh;Kota Banda Aceh;Baiturrahman;Ateuk Jawo;Desa
6185;11.71.01.2009;11.;11.71.;11.71.01.;11.71.01.2009;Aceh;Kota Banda Aceh;Baiturrahman;Ateuk Deah Tanoh;Desa
6186;11.71.01.2010;11.;11.71.;11.71.01.;11.71.01.2010;Aceh;Kota Banda Aceh;Baiturrahman;Ateuk Munjeng;Desa
6187;11.71.02.2001;11.;11.71.;11.71.02.;11.71.02.2001;Aceh;Kota Banda Aceh;Kuta Alam;Mulia;Desa
6188;11.71.02.2002;11.;11.71.;11.71.02.;11.71.02.2002;Aceh;Kota Banda Aceh;Kuta Alam;Peunayong;Desa
6189;11.71.02.2003;11.;11.71.;11.71.02.;11.71.02.2003;Aceh;Kota Banda Aceh;Kuta Alam;Laksana;Desa
6190;11.71.02.2004;11.;11.71.;11.71.02.;11.71.02.2004;Aceh;Kota Banda Aceh;Kuta Alam;Keuramat;Desa
6191;11.71.02.2005;11.;11.71.;11.71.02.;11.71.02.2005;Aceh;Kota Banda Aceh;Kuta Alam;Kota Baru;Desa
6192;11.71.02.2006;11.;11.71.;11.71.02.;11.71.02.2006;Aceh;Kota Banda Aceh;Kuta Alam;Beurawe;Desa
6193;11.71.02.2007;11.;11.71.;11.71.02.;11.71.02.2007;Aceh;Kota Banda Aceh;Kuta Alam;Kuta Alam;Desa
6194;11.71.02.2008;11.;11.71.;11.71.02.;11.71.02.2008;Aceh;Kota Banda Aceh;Kuta Alam;Bandar Baru;Desa
6195;11.71.02.2009;11.;11.71.;11.71.02.;11.71.02.2009;Aceh;Kota Banda Aceh;Kuta Alam;Lamdingin;Desa
6196;11.71.02.2010;11.;11.71.;11.71.02.;11.71.02.2010;Aceh;Kota Banda Aceh;Kuta Alam;Lampulo;Desa
6197;11.71.02.2011;11.;11.71.;11.71.02.;11.71.02.2011;Aceh;Kota Banda Aceh;Kuta Alam;Lambaro Skep;Desa
6198;11.71.03.2001;11.;11.71.;11.71.03.;11.71.03.2001;Aceh;Kota Banda Aceh;Meuraxa;Punge Jurong;Desa
6199;11.71.03.2002;11.;11.71.;11.71.03.;11.71.03.2002;Aceh;Kota Banda Aceh;Meuraxa;Ulee Lheue;Desa
6200;11.71.03.2003;11.;11.71.;11.71.03.;11.71.03.2003;Aceh;Kota Banda Aceh;Meuraxa;Lambung;Desa
6201;11.71.03.2004;11.;11.71.;11.71.03.;11.71.03.2004;Aceh;Kota Banda Aceh;Meuraxa;Deah Glumpang;Desa
6202;11.71.03.2005;11.;11.71.;11.71.03.;11.71.03.2005;Aceh;Kota Banda Aceh;Meuraxa;Deah Baro;Desa
6203;11.71.03.2006;11.;11.71.;11.71.03.;11.71.03.2006;Aceh;Kota Banda Aceh;Meuraxa;Alue Deah Teungoh;Desa
6204;11.71.03.2007;11.;11.71.;11.71.03.;11.71.03.2007;Aceh;Kota Banda Aceh;Meuraxa;Lampaseh Aceh;Desa
6205;11.71.03.2008;11.;11.71.;11.71.03.;11.71.03.2008;Aceh;Kota Banda Aceh;Meuraxa;Blang Oi;Desa
6206;11.71.03.2009;11.;11.71.;11.71.03.;11.71.03.2009;Aceh;Kota Banda Aceh;Meuraxa;Asoe Nanggroe;Desa
6207;11.71.03.2010;11.;11.71.;11.71.03.;11.71.03.2010;Aceh;Kota Banda Aceh;Meuraxa;Gampong Blang;Desa
6208;11.71.03.2011;11.;11.71.;11.71.03.;11.71.03.2011;Aceh;Kota Banda Aceh;Meuraxa;Gampong Pie;Desa
6209;11.71.03.2012;11.;11.71.;11.71.03.;11.71.03.2012;Aceh;Kota Banda Aceh;Meuraxa;Lamjabat;Desa
6210;11.71.03.2013;11.;11.71.;11.71.03.;11.71.03.2013;Aceh;Kota Banda Aceh;Meuraxa;Cot Lamkuweuh;Desa
6211;11.71.03.2014;11.;11.71.;11.71.03.;11.71.03.2014;Aceh;Kota Banda Aceh;Meuraxa;Surien;Desa
6212;11.71.03.2015;11.;11.71.;11.71.03.;11.71.03.2015;Aceh;Kota Banda Aceh;Meuraxa;Gampong Baro;Desa
6213;11.71.03.2016;11.;11.71.;11.71.03.;11.71.03.2016;Aceh;Kota Banda Aceh;Meuraxa;Punge Ujong;Desa
6214;11.71.04.2001;11.;11.71.;11.71.04.;11.71.04.2001;Aceh;Kota Banda Aceh;Syiah Kuala;Jeulingke;Desa
6215;11.71.04.2002;11.;11.71.;11.71.04.;11.71.04.2002;Aceh;Kota Banda Aceh;Syiah Kuala;Tibang;Desa
6216;11.71.04.2003;11.;11.71.;11.71.04.;11.71.04.2003;Aceh;Kota Banda Aceh;Syiah Kuala;Deah Raya;Desa
6217;11.71.04.2004;11.;11.71.;11.71.04.;11.71.04.2004;Aceh;Kota Banda Aceh;Syiah Kuala;Alue Naga;Desa
6218;11.71.04.2005;11.;11.71.;11.71.04.;11.71.04.2005;Aceh;Kota Banda Aceh;Syiah Kuala;Ie Masen Kayee Adang;Desa
6219;11.71.04.2006;11.;11.71.;11.71.04.;11.71.04.2006;Aceh;Kota Banda Aceh;Syiah Kuala;Pineung;Desa
6220;11.71.04.2007;11.;11.71.;11.71.04.;11.71.04.2007;Aceh;Kota Banda Aceh;Syiah Kuala;Lamgugob;Desa
6221;11.71.04.2008;11.;11.71.;11.71.04.;11.71.04.2008;Aceh;Kota Banda Aceh;Syiah Kuala;Kopelma Darussalam;Desa
6222;11.71.04.2009;11.;11.71.;11.71.04.;11.71.04.2009;Aceh;Kota Banda Aceh;Syiah Kuala;Rukoh;Desa
6223;11.71.04.2010;11.;11.71.;11.71.04.;11.71.04.2010;Aceh;Kota Banda Aceh;Syiah Kuala;Peurada;Desa
6224;11.71.05.2001;11.;11.71.;11.71.05.;11.71.05.2001;Aceh;Kota Banda Aceh;Lueng Bata;Lueng Bata;Desa
6225;11.71.05.2002;11.;11.71.;11.71.05.;11.71.05.2002;Aceh;Kota Banda Aceh;Lueng Bata;Cot Mesjid;Desa
6226;11.71.05.2003;11.;11.71.;11.71.05.;11.71.05.2003;Aceh;Kota Banda Aceh;Lueng Bata;Panteriek;Desa
6227;11.71.05.2004;11.;11.71.;11.71.05.;11.71.05.2004;Aceh;Kota Banda Aceh;Lueng Bata;Blang Cut;Desa
6228;11.71.05.2005;11.;11.71.;11.71.05.;11.71.05.2005;Aceh;Kota Banda Aceh;Lueng Bata;Lamseupeung;Desa
6229;11.71.05.2006;11.;11.71.;11.71.05.;11.71.05.2006;Aceh;Kota Banda Aceh;Lueng Bata;Batoh;Desa
6230;11.71.05.2007;11.;11.71.;11.71.05.;11.71.05.2007;Aceh;Kota Banda Aceh;Lueng Bata;Suka Damai;Desa
6231;11.71.05.2008;11.;11.71.;11.71.05.;11.71.05.2008;Aceh;Kota Banda Aceh;Lueng Bata;Lamdom;Desa
6232;11.71.05.2009;11.;11.71.;11.71.05.;11.71.05.2009;Aceh;Kota Banda Aceh;Lueng Bata;Lampaloh;Desa
6233;11.71.06.2001;11.;11.71.;11.71.06.;11.71.06.2001;Aceh;Kota Banda Aceh;Kuta Raja;Keudah;Desa
6234;11.71.06.2002;11.;11.71.;11.71.06.;11.71.06.2002;Aceh;Kota Banda Aceh;Kuta Raja;Peulanggahan;Desa
6235;11.71.06.2003;11.;11.71.;11.71.06.;11.71.06.2003;Aceh;Kota Banda Aceh;Kuta Raja;Merduati;Desa
6236;11.71.06.2004;11.;11.71.;11.71.06.;11.71.06.2004;Aceh;Kota Banda Aceh;Kuta Raja;Lampaseh Kota;Desa
6237;11.71.06.2005;11.;11.71.;11.71.06.;11.71.06.2005;Aceh;Kota Banda Aceh;Kuta Raja;Gampong Pande;Desa
6238;11.71.06.2006;11.;11.71.;11.71.06.;11.71.06.2006;Aceh;Kota Banda Aceh;Kuta Raja;Gampong Jawa;Desa
6239;11.71.07.2001;11.;11.71.;11.71.07.;11.71.07.2001;Aceh;Kota Banda Aceh;Banda Raya;Geuceu Komplek;Desa
6240;11.71.07.2002;11.;11.71.;11.71.07.;11.71.07.2002;Aceh;Kota Banda Aceh;Banda Raya;Lamlagang;Desa
6241;11.71.07.2003;11.;11.71.;11.71.07.;11.71.07.2003;Aceh;Kota Banda Aceh;Banda Raya;Geuceu Iniem;Desa
6242;11.71.07.2004;11.;11.71.;11.71.07.;11.71.07.2004;Aceh;Kota Banda Aceh;Banda Raya;Geuceu Kayee Jato;Desa
6243;11.71.07.2005;11.;11.71.;11.71.07.;11.71.07.2005;Aceh;Kota Banda Aceh;Banda Raya;Lam Ara;Desa
6244;11.71.07.2006;11.;11.71.;11.71.07.;11.71.07.2006;Aceh;Kota Banda Aceh;Banda Raya;Lhong Raya;Desa
6245;11.71.07.2007;11.;11.71.;11.71.07.;11.71.07.2007;Aceh;Kota Banda Aceh;Banda Raya;Mibo;Desa
6246;11.71.07.2008;11.;11.71.;11.71.07.;11.71.07.2008;Aceh;Kota Banda Aceh;Banda Raya;Peunyerat;Desa
6247;11.71.07.2009;11.;11.71.;11.71.07.;11.71.07.2009;Aceh;Kota Banda Aceh;Banda Raya;Lhong Cut;Desa
6248;11.71.07.2010;11.;11.71.;11.71.07.;11.71.07.2010;Aceh;Kota Banda Aceh;Banda Raya;Lampeuot;Desa
6249;11.71.08.2001;11.;11.71.;11.71.08.;11.71.08.2001;Aceh;Kota Banda Aceh;Jaya Baru;Punge Blang Cut;Desa
6250;11.71.08.2002;11.;11.71.;11.71.08.;11.71.08.2002;Aceh;Kota Banda Aceh;Jaya Baru;Bitai;Desa
6251;11.71.08.2003;11.;11.71.;11.71.08.;11.71.08.2003;Aceh;Kota Banda Aceh;Jaya Baru;Lamjamee;Desa
6252;11.71.08.2004;11.;11.71.;11.71.08.;11.71.08.2004;Aceh;Kota Banda Aceh;Jaya Baru;Ulee  Pata;Desa
6253;11.71.08.2005;11.;11.71.;11.71.08.;11.71.08.2005;Aceh;Kota Banda Aceh;Jaya Baru;Lampoh Daya;Desa
6254;11.71.08.2006;11.;11.71.;11.71.08.;11.71.08.2006;Aceh;Kota Banda Aceh;Jaya Baru;Emperom;Desa
6255;11.71.08.2007;11.;11.71.;11.71.08.;11.71.08.2007;Aceh;Kota Banda Aceh;Jaya Baru;Geuceu Meunara;Desa
6256;11.71.08.2008;11.;11.71.;11.71.08.;11.71.08.2008;Aceh;Kota Banda Aceh;Jaya Baru;Lamteumen Timur;Desa
6257;11.71.08.2009;11.;11.71.;11.71.08.;11.71.08.2009;Aceh;Kota Banda Aceh;Jaya Baru;Lamteumen Barat;Desa
6258;11.71.09.2001;11.;11.71.;11.71.09.;11.71.09.2001;Aceh;Kota Banda Aceh;Ulee Kareng;Lambhuk;Desa
6259;11.71.09.2002;11.;11.71.;11.71.09.;11.71.09.2002;Aceh;Kota Banda Aceh;Ulee Kareng;Lamteh;Desa
6260;11.71.09.2003;11.;11.71.;11.71.09.;11.71.09.2003;Aceh;Kota Banda Aceh;Ulee Kareng;Ilie;Desa
6261;11.71.09.2004;11.;11.71.;11.71.09.;11.71.09.2004;Aceh;Kota Banda Aceh;Ulee Kareng;Pango Raya;Desa
6262;11.71.09.2005;11.;11.71.;11.71.09.;11.71.09.2005;Aceh;Kota Banda Aceh;Ulee Kareng;Pango Deah;Desa
6263;11.71.09.2006;11.;11.71.;11.71.09.;11.71.09.2006;Aceh;Kota Banda Aceh;Ulee Kareng;Ceurih;Desa
6264;11.71.09.2007;11.;11.71.;11.71.09.;11.71.09.2007;Aceh;Kota Banda Aceh;Ulee Kareng;Doy;Desa
6265;11.71.09.2008;11.;11.71.;11.71.09.;11.71.09.2008;Aceh;Kota Banda Aceh;Ulee Kareng;Lamglumpang;Desa
6266;11.71.09.2009;11.;11.71.;11.71.09.;11.71.09.2009;Aceh;Kota Banda Aceh;Ulee Kareng;Ie Masen Ulee Kareng;Desa
6267;11.72.01.2004;11.;11.72.;11.72.01.;11.72.01.2004;Aceh;Kota Sabang;Sukakarya;Krueng Raya;Desa
6268;11.72.01.2005;11.;11.72.;11.72.01.;11.72.01.2005;Aceh;Kota Sabang;Sukakarya;Aneuk Laot;Desa
6269;11.72.01.2006;11.;11.72.;11.72.01.;11.72.01.2006;Aceh;Kota Sabang;Sukakarya;Kuta Timu;Desa
6270;11.72.01.2007;11.;11.72.;11.72.01.;11.72.01.2007;Aceh;Kota Sabang;Sukakarya;Kuta Barat;Desa
6271;11.72.01.2008;11.;11.72.;11.72.01.;11.72.01.2008;Aceh;Kota Sabang;Sukakarya;Kuta Ateuh;Desa
6272;11.72.02.2004;11.;11.72.;11.72.02.;11.72.02.2004;Aceh;Kota Sabang;Sukajaya;Jaboi;Desa
6273;11.72.02.2005;11.;11.72.;11.72.02.;11.72.02.2005;Aceh;Kota Sabang;Sukajaya;Balohan;Desa
6274;11.72.02.2006;11.;11.72.;11.72.02.;11.72.02.2006;Aceh;Kota Sabang;Sukajaya;Cot Abeuk;Desa
6275;11.72.02.2007;11.;11.72.;11.72.02.;11.72.02.2007;Aceh;Kota Sabang;Sukajaya;Cot Ba U;Desa
6276;11.72.02.2008;11.;11.72.;11.72.02.;11.72.02.2008;Aceh;Kota Sabang;Sukajaya;Ie Meulee;Desa
6277;11.72.02.2009;11.;11.72.;11.72.02.;11.72.02.2009;Aceh;Kota Sabang;Sukajaya;Ujoeng Kareung;Desa
6278;11.72.02.2010;11.;11.72.;11.72.02.;11.72.02.2010;Aceh;Kota Sabang;Sukajaya;Anoe Itam;Desa
6279;11.72.03.2001;11.;11.72.;11.72.03.;11.72.03.2001;Aceh;Kota Sabang;Sukamakmue;Iboih;Desa
6280;11.72.03.2002;11.;11.72.;11.72.03.;11.72.03.2002;Aceh;Kota Sabang;Sukamakmue;Batee Shok;Desa
6281;11.72.03.2003;11.;11.72.;11.72.03.;11.72.03.2003;Aceh;Kota Sabang;Sukamakmue;Paya Seunara;Desa
6282;11.72.03.2004;11.;11.72.;11.72.03.;11.72.03.2004;Aceh;Kota Sabang;Sukamakmue;Paya;Desa
6283;11.72.03.2005;11.;11.72.;11.72.03.;11.72.03.2005;Aceh;Kota Sabang;Sukamakmue;Keunekai;Desa
6284;11.72.03.2006;11.;11.72.;11.72.03.;11.72.03.2006;Aceh;Kota Sabang;Sukamakmue;Beurawang;Desa
6285;11.73.01.2002;11.;11.73.;11.73.01.;11.73.01.2002;Aceh;Kota Lhokseumawe;Muara Dua;Alue Awe;Desa
6286;11.73.01.2003;11.;11.73.;11.73.01.;11.73.01.2003;Aceh;Kota Lhokseumawe;Muara Dua;Blang Crum;Desa
6287;11.73.01.2004;11.;11.73.;11.73.01.;11.73.01.2004;Aceh;Kota Lhokseumawe;Muara Dua;Cut Mamplam;Desa
6288;11.73.01.2005;11.;11.73.;11.73.01.;11.73.01.2005;Aceh;Kota Lhokseumawe;Muara Dua;Meunasah Mee;Desa
6289;11.73.01.2006;11.;11.73.;11.73.01.;11.73.01.2006;Aceh;Kota Lhokseumawe;Muara Dua;Cot Girek Kandang;Desa
6290;11.73.01.2007;11.;11.73.;11.73.01.;11.73.01.2007;Aceh;Kota Lhokseumawe;Muara Dua;Keude Cunda;Desa
6291;11.73.01.2008;11.;11.73.;11.73.01.;11.73.01.2008;Aceh;Kota Lhokseumawe;Muara Dua;Uteunkot;Desa
6292;11.73.01.2009;11.;11.73.;11.73.01.;11.73.01.2009;Aceh;Kota Lhokseumawe;Muara Dua;Lhok Mon Puteh;Desa
6293;11.73.01.2010;11.;11.73.;11.73.01.;11.73.01.2010;Aceh;Kota Lhokseumawe;Muara Dua;Meunasah Mesjid;Desa
6294;11.73.01.2011;11.;11.73.;11.73.01.;11.73.01.2011;Aceh;Kota Lhokseumawe;Muara Dua;Mns. Panggoi;Desa
6295;11.73.01.2013;11.;11.73.;11.73.01.;11.73.01.2013;Aceh;Kota Lhokseumawe;Muara Dua;Paya Bili;Desa
6296;11.73.01.2014;11.;11.73.;11.73.01.;11.73.01.2014;Aceh;Kota Lhokseumawe;Muara Dua;Meunasah Alue;Desa
6297;11.73.01.2015;11.;11.73.;11.73.01.;11.73.01.2015;Aceh;Kota Lhokseumawe;Muara Dua;Paya Punteuet;Desa
6298;11.73.01.2016;11.;11.73.;11.73.01.;11.73.01.2016;Aceh;Kota Lhokseumawe;Muara Dua;Blang Poroh;Desa
6299;11.73.01.2024;11.;11.73.;11.73.01.;11.73.01.2024;Aceh;Kota Lhokseumawe;Muara Dua;Meunasah Manyang;Desa
6300;11.73.01.2025;11.;11.73.;11.73.01.;11.73.01.2025;Aceh;Kota Lhokseumawe;Muara Dua;Meunasah Blang;Desa
6301;11.73.01.2026;11.;11.73.;11.73.01.;11.73.01.2026;Aceh;Kota Lhokseumawe;Muara Dua;Paloh Batee;Desa
6302;11.73.02.2001;11.;11.73.;11.73.02.;11.73.02.2001;Aceh;Kota Lhokseumawe;Banda Sakti;Kuta Blang;Desa
6303;11.73.02.2002;11.;11.73.;11.73.02.;11.73.02.2002;Aceh;Kota Lhokseumawe;Banda Sakti;Tumpok Teungoh;Desa
6304;11.73.02.2003;11.;11.73.;11.73.02.;11.73.02.2003;Aceh;Kota Lhokseumawe;Banda Sakti;Simpang Empat;Desa
6305;11.73.02.2004;11.;11.73.;11.73.02.;11.73.02.2004;Aceh;Kota Lhokseumawe;Banda Sakti;Kampung Jawa Lhokseumawe;Desa
6306;11.73.02.2005;11.;11.73.;11.73.02.;11.73.02.2005;Aceh;Kota Lhokseumawe;Banda Sakti;Kota Lhokseumawe;Desa
6307;11.73.02.2006;11.;11.73.;11.73.02.;11.73.02.2006;Aceh;Kota Lhokseumawe;Banda Sakti;Mon Geudong;Desa
6308;11.73.02.2007;11.;11.73.;11.73.02.;11.73.02.2007;Aceh;Kota Lhokseumawe;Banda Sakti;Keude Aceh;Desa
6309;11.73.02.2008;11.;11.73.;11.73.02.;11.73.02.2008;Aceh;Kota Lhokseumawe;Banda Sakti;Pusong Lhokseumawe;Desa
6310;11.73.02.2009;11.;11.73.;11.73.02.;11.73.02.2009;Aceh;Kota Lhokseumawe;Banda Sakti;Hagu Teungoh;Desa
6311;11.73.02.2010;11.;11.73.;11.73.02.;11.73.02.2010;Aceh;Kota Lhokseumawe;Banda Sakti;Uteun Bayi;Desa
6312;11.73.02.2011;11.;11.73.;11.73.02.;11.73.02.2011;Aceh;Kota Lhokseumawe;Banda Sakti;Ujong Blang;Desa
6313;11.73.02.2012;11.;11.73.;11.73.02.;11.73.02.2012;Aceh;Kota Lhokseumawe;Banda Sakti;Hagu Selatan;Desa
6314;11.73.02.2013;11.;11.73.;11.73.02.;11.73.02.2013;Aceh;Kota Lhokseumawe;Banda Sakti;Pusong Baru;Desa
6315;11.73.02.2014;11.;11.73.;11.73.02.;11.73.02.2014;Aceh;Kota Lhokseumawe;Banda Sakti;Ulee Jalan;Desa
6316;11.73.02.2015;11.;11.73.;11.73.02.;11.73.02.2015;Aceh;Kota Lhokseumawe;Banda Sakti;Banda Masen;Desa
6317;11.73.02.2016;11.;11.73.;11.73.02.;11.73.02.2016;Aceh;Kota Lhokseumawe;Banda Sakti;Lancang Garam;Desa
6318;11.73.02.2017;11.;11.73.;11.73.02.;11.73.02.2017;Aceh;Kota Lhokseumawe;Banda Sakti;Jawa Baroe;Desa
6319;11.73.02.2018;11.;11.73.;11.73.02.;11.73.02.2018;Aceh;Kota Lhokseumawe;Banda Sakti;Hagu Barat Laut;Desa
6320;11.73.03.2001;11.;11.73.;11.73.03.;11.73.03.2001;Aceh;Kota Lhokseumawe;Blang Mangat;Kuala;Desa
6321;11.73.03.2002;11.;11.73.;11.73.03.;11.73.03.2002;Aceh;Kota Lhokseumawe;Blang Mangat;Blang Cut;Desa
6322;11.73.03.2003;11.;11.73.;11.73.03.;11.73.03.2003;Aceh;Kota Lhokseumawe;Blang Mangat;Jambo Mesjid;Desa
6323;11.73.03.2004;11.;11.73.;11.73.03.;11.73.03.2004;Aceh;Kota Lhokseumawe;Blang Mangat;Jambo Timu;Desa
6324;11.73.03.2005;11.;11.73.;11.73.03.;11.73.03.2005;Aceh;Kota Lhokseumawe;Blang Mangat;Tunong;Desa
6325;11.73.03.2006;11.;11.73.;11.73.03.;11.73.03.2006;Aceh;Kota Lhokseumawe;Blang Mangat;Blang Teue;Desa
6326;11.73.03.2007;11.;11.73.;11.73.03.;11.73.03.2007;Aceh;Kota Lhokseumawe;Blang Mangat;Teungoh;Desa
6327;11.73.03.2008;11.;11.73.;11.73.03.;11.73.03.2008;Aceh;Kota Lhokseumawe;Blang Mangat;Baloi;Desa
6328;11.73.03.2009;11.;11.73.;11.73.03.;11.73.03.2009;Aceh;Kota Lhokseumawe;Blang Mangat;Mane Kareung;Desa
6329;11.73.03.2010;11.;11.73.;11.73.03.;11.73.03.2010;Aceh;Kota Lhokseumawe;Blang Mangat;Asan Kareung;Desa
6330;11.73.03.2011;11.;11.73.;11.73.03.;11.73.03.2011;Aceh;Kota Lhokseumawe;Blang Mangat;Rayeuk Kareung;Desa
6331;11.73.03.2012;11.;11.73.;11.73.03.;11.73.03.2012;Aceh;Kota Lhokseumawe;Blang Mangat;Blang Punteuet;Desa
