KODE DAN DATA ADMINISTRASI PEMERINTAHAN (PROVINSI, KABUPATEN/KOTA, KECAMATAN, DESA DAN KELURAHAN);;;;;;;;;;
KEPMENDAGRI Nomor 300.2.2 - 2138 TAHUN 2025;;;;;;;;;;
No;Kode Wilayah;Kode_Prov;Kode_Kab;Kode_Kec;Kode_Kel/Desa;Provinsi;Kabupaten/Kota;Kecamatan;Kelurahan/Desa;TIPE
40;11.01.03.2012;11.;11.01.;11.01.03.;11.01.03.2012;Aceh;Kabupaten Aceh Selatan;Kluet Selatan;Pasi Meurapat;Desa
41;11.01.03.2013;11.;11.01.;11.01.03.;11.01.03.2013;Aceh;Kabupaten Aceh Selatan;Kluet Selatan;Ujung Pasir;Desa
42;11.01.03.2014;11.;11.01.;11.01.03.;11.01.03.2014;Aceh;Kabupaten Aceh Selatan;Kluet Selatan;Geulumbuk;Desa
43;11.01.03.2015;11.;11.01.;11.01.03.;11.01.03.2015;Aceh;Kabupaten Aceh Selatan;Kluet Selatan;Pasie Lembang;Desa
44;11.01.03.2016;11.;11.01.;11.01.03.;11.01.03.2016;Aceh;Kabupaten Aceh Selatan;Kluet Selatan;Ujung Padang;Desa
45;11.01.03.2017;11.;11.01.;11.01.03.;11.01.03.2017;Aceh;Kabupaten Aceh Selatan;Kluet Selatan;Indra Damai;Desa
46;11.01.04.2001;11.;11.01.;11.01.04.;11.01.04.2001;Aceh;Kabupaten Aceh Selatan;Labuhanhaji;Bakau Hulu;Desa
47;11.01.04.2002;11.;11.01.;11.01.04.;11.01.04.2002;Aceh;Kabupaten Aceh Selatan;Labuhanhaji;Padang Bakau;Desa
48;11.01.04.2003;11.;11.01.;11.01.04.;11.01.04.2003;Aceh;Kabupaten Aceh Selatan;Labuhanhaji;Manggis Harapan;Desa
49;11.01.04.2004;11.;11.01.;11.01.04.;11.01.04.2004;Aceh;Kabupaten Aceh Selatan;Labuhanhaji;Pasar Lama;Desa
50;11.01.04.2005;11.;11.01.;11.01.04.;11.01.04.2005;Aceh;Kabupaten Aceh Selatan;Labuhanhaji;Apha;Desa
51;11.01.04.2006;11.;11.01.;11.01.04.;11.01.04.2006;Aceh;Kabupaten Aceh Selatan;Labuhanhaji;Ujung Batu;Desa
52;11.01.04.2007;11.;11.01.;11.01.04.;11.01.04.2007;Aceh;Kabupaten Aceh Selatan;Labuhanhaji;Pawoh;Desa
53;11.01.04.2008;11.;11.01.;11.01.04.;11.01.04.2008;Aceh;Kabupaten Aceh Selatan;Labuhanhaji;Dalam;Desa
54;11.01.04.2009;11.;11.01.;11.01.04.;11.01.04.2009;Aceh;Kabupaten Aceh Selatan;Labuhanhaji;Kota Palak;Desa
55;11.01.04.2010;11.;11.01.;11.01.04.;11.01.04.2010;Aceh;Kabupaten Aceh Selatan;Labuhanhaji;Cacang;Desa
56;11.01.04.2011;11.;11.01.;11.01.04.;11.01.04.2011;Aceh;Kabupaten Aceh Selatan;Labuhanhaji;Tengah Pisang;Desa
57;11.01.04.2012;11.;11.01.;11.01.04.;11.01.04.2012;Aceh;Kabupaten Aceh Selatan;Labuhanhaji;Pisang;Desa
